Source,Target,Type,Weight
decisio,causa,Undirected,4
decisio,praecipuus,Undirected,1
decisio,summus,Undirected,1
decisio,tribunal,Undirected,1
decisio,regius,Undirected,3
decisio,uismariense,Undirected,1
decisio,delatus,Undirected,1
decisio,curo,Undirected,1
decisio,iohannis,Undirected,2
decisio,iacob,Undirected,1
decisio,ryssel,Undirected,1
causa,praecipuus,Undirected,1
causa,summus,Undirected,1
causa,tribunal,Undirected,1
causa,regius,Undirected,1
causa,uismariense,Undirected,1
causa,delatus,Undirected,1
causa,curo,Undirected,1
causa,iohannis,Undirected,1
causa,iacob,Undirected,1
causa,ryssel,Undirected,1
praecipuus,summus,Undirected,1
praecipuus,tribunal,Undirected,1
praecipuus,regius,Undirected,1
praecipuus,uismariense,Undirected,1
praecipuus,delatus,Undirected,1
praecipuus,curo,Undirected,1
praecipuus,iohannis,Undirected,1
praecipuus,iacob,Undirected,1
praecipuus,ryssel,Undirected,1
summus,tribunal,Undirected,1
summus,regius,Undirected,1
summus,uismariense,Undirected,1
summus,delatus,Undirected,1
summus,curo,Undirected,1
summus,iohannis,Undirected,1
summus,iacob,Undirected,1
summus,ryssel,Undirected,1
tribunal,regius,Undirected,1
tribunal,uismariense,Undirected,1
tribunal,delatus,Undirected,1
tribunal,curo,Undirected,1
tribunal,iohannis,Undirected,1
tribunal,iacob,Undirected,1
tribunal,ryssel,Undirected,1
regius,uismariense,Undirected,1
regius,delatus,Undirected,1
regius,curo,Undirected,1
regius,iohannis,Undirected,1
regius,iacob,Undirected,1
regius,ryssel,Undirected,1
uismariense,delatus,Undirected,1
uismariense,curo,Undirected,1
uismariense,iohannis,Undirected,1
uismariense,iacob,Undirected,1
uismariense,ryssel,Undirected,1
delatus,curo,Undirected,1
delatus,iohannis,Undirected,1
delatus,iacob,Undirected,1
delatus,ryssel,Undirected,1
curo,iohannis,Undirected,1
curo,iacob,Undirected,1
curo,ryssel,Undirected,1
iohannis,iacob,Undirected,1
iohannis,ryssel,Undirected,1
iacob,ryssel,Undirected,1
heilig,roma,Undirected,2
heilig,reich,Undirected,3
heilig,gehalten,Undirected,1
heilig,tag,Undirected,1
heilig,abschied,Undirected,2
heilig,satzung,Undirected,1
roma,reich,Undirected,3
roma,gehalten,Undirected,1
roma,tag,Undirected,1
roma,abschied,Undirected,2
roma,satzung,Undirected,1
reich,gehalten,Undirected,1
reich,reich,Undirected,1
reich,tag,Undirected,2
reich,abschied,Undirected,3
reich,satzung,Undirected,2
gehalten,reich,Undirected,1
gehalten,tag,Undirected,1
gehalten,abschied,Undirected,1
gehalten,satzung,Undirected,1
tag,abschied,Undirected,1
tag,satzung,Undirected,1
abschied,satzung,Undirected,1
tractatus,commissarus,Undirected,1
tractatus,commissio,Undirected,1
tractatus,cammer,Undirected,1
tractatus,imperium,Undirected,2
commissarus,commissio,Undirected,1
commissarus,cammer,Undirected,1
commissarus,imperium,Undirected,1
commissio,cammer,Undirected,1
commissio,imperium,Undirected,1
cammer,imperium,Undirected,3
corpus,constitutio,Undirected,1
corpus,imperium,Undirected,1
constitutio,imperium,Undirected,2
consilium,jus,Undirected,4
consilium,responsum,Undirected,7
jus,responsum,Undirected,1
processus2,jus,Undirected,2
processus2,forum,Undirected,1
processus2,saxonicus,Undirected,1
jus,forum,Undirected,1
jus,saxonicus,Undirected,1
forum,saxonicus,Undirected,1
heilig,anfang,Undirected,1
roma,anfang,Undirected,1
reich,anfang,Undirected,1
abschied,anfang,Undirected,1
actum,sache,Undirected,1
actum,marburg,Undirected,1
